,altitude,heading,latitude,longitude,pitch,roll,time_gps
0,158.947,-24.4563121796,37.8371104153,114.391218574,-0.681173145771,0.422986537218,0.0
1,158.934,-24.4563121796,37.8371103805,114.391218581,-0.686666488647,0.422986537218,0.136069774628
2,158.939,-24.4508190155,37.8371103737,114.391218551,-0.686666488647,0.428479880095,0.199513435364
3,158.938,-24.4563121796,37.8371103712,114.391218554,-0.681173145771,0.433973193169,0.335781812668
4,158.938,-24.4563121796,37.8371103785,114.391218579,-0.681173145771,0.428479880095,0.399483442307
5,158.939,-24.4563121796,37.837110372,114.391218541,-0.686666488647,0.428479880095,0.524117708206
6,158.941,-24.4508190155,37.8371103687,114.391218576,-0.686666488647,0.422986537218,0.600045919418
7,158.933,-24.4563121796,37.8371103853,114.391218534,-0.686666488647,0.428479880095,0.724684715271
8,158.943,-24.4563121796,37.8371103655,114.391218522,-0.681173145771,0.428479880095,0.801198959351
9,158.94,-24.4508190155,37.8371103643,114.391218524,-0.681173145771,0.428479880095,0.934040784836
10,158.942,-24.4563121796,37.8371103825,114.391218518,-0.686666488647,0.428479880095,1.00061869621
11,158.941,-24.4563121796,37.8371103623,114.391218522,-0.686666488647,0.428479880095,1.12396860123
12,158.936,-24.4508190155,37.8371103837,114.391218534,-0.681173145771,0.428479880095,1.20090103149
13,158.937,-24.4563121796,37.8371103733,114.391218532,-0.686666488647,0.428479880095,1.32486629486
14,158.939,-24.4563121796,37.8371103717,114.391218535,-0.686666488647,0.428479880095,1.40000939369
15,158.942,-24.4508190155,37.8371103437,114.391218542,-0.686666488647,0.428479880095,1.5257256031
16,158.936,-24.4563121796,37.8371103813,114.391218537,-0.681173145771,0.428479880095,1.61695790291
17,158.941,-24.4563121796,37.837110365,114.391218518,-0.686666488647,0.428479880095,1.73524737358
18,158.938,-24.4508190155,37.8371103748,114.391218553,-0.686666488647,0.428479880095,1.79994606972
19,158.937,-24.4563121796,37.8371103702,114.39121852,-0.686666488647,0.422986537218,1.93978524208
20,158.938,-24.4563121796,37.8371103673,114.39121856,-0.681173145771,0.417493224144,1.99927473068
21,158.95,-24.4508190155,37.8371103687,114.391218534,-0.670186460018,0.444959878922,2.13395595551
22,158.945,-24.4508190155,37.8371104138,114.391218553,-0.675679802895,0.428479880095,2.19955420494
23,158.953,-24.4618053436,37.837110417,114.391218576,-0.675679802895,0.439466536045,2.33288145065
24,158.948,-24.4563121796,37.8371104565,114.391218581,-0.670186460018,0.433973193169,2.3996090889
25,158.954,-24.4563121796,37.8371104933,114.391218596,-0.664693117142,0.439466536045,2.53182268143
26,158.95,-24.4563121796,37.837110543,114.391218649,-0.670186460018,0.439466536045,2.60041880608
27,158.95,-24.4563121796,37.8371105633,114.391218622,-0.664693117142,0.439466536045,2.72568416595
28,158.952,-24.4563121796,37.8371105987,114.391218689,-0.664693117142,0.439466536045,2.80046200752
29,158.948,-24.4563121796,37.8371106837,114.391218733,-0.670186460018,0.433973193169,2.93733763695
30,158.947,-24.4563121796,37.8371106998,114.391218749,-0.664693117142,0.439466536045,2.99927449226
31,158.947,-24.4563121796,37.8371107365,114.391218764,-0.65919983387,0.439466536045,3.13365793228
32,158.947,-24.4508190155,37.837110772,114.391218806,-0.664693117142,0.444959878922,3.1991443634
33,158.945,-24.4508190155,37.8371108145,114.39121883,-0.65919983387,0.439466536045,3.33317708969
34,158.946,-24.4563121796,37.837110851,114.391218813,-0.65919983387,0.444959878922,3.40204930305
35,158.947,-24.4508190155,37.8371108543,114.391218827,-0.65919983387,0.439466536045,3.52288174629
36,158.942,-24.4563121796,37.8371108897,114.391218855,-0.65919983387,0.444959878922,3.60066342354
37,158.95,-24.4563121796,37.8371109168,114.391218876,-0.653706490993,0.444959878922,3.72321796417
38,158.953,-24.4563121796,37.8371109218,114.391218871,-0.65919983387,0.444959878922,3.79964256287
39,158.949,-24.4508190155,37.8371109398,114.391218862,-0.653706490993,0.444959878922,3.9425675869
40,158.945,-24.4563121796,37.837110963,114.391218876,-0.653706490993,0.444959878922,4.00156831741
41,158.953,-24.4563121796,37.8371109498,114.391218863,-0.653706490993,0.444959878922,4.13295149803
42,158.946,-24.4563121796,37.8371109938,114.391218884,-0.653706490993,0.444959878922,4.20069956779
43,158.954,-24.4563121796,37.8371109802,114.391218909,-0.653706490993,0.444959878922,4.3321390152
44,158.946,-24.4563121796,37.8371110087,114.39121891,-0.653706490993,0.444959878922,4.3986518383
45,158.946,-24.4563121796,37.837110985,114.391218915,-0.653706490993,0.444959878922,4.52527070045
46,158.952,-24.4563121796,37.8371109672,114.391218889,-0.653706490993,0.444959878922,4.60057473183
47,158.944,-24.4563121796,37.8371109965,114.391218902,-0.653706490993,0.444959878922,4.74085330963
48,158.948,-24.4563121796,37.8371109882,114.391218896,-0.653706490993,0.444959878922,4.80278778076
49,158.945,-24.4563121796,37.8371109913,114.391218873,-0.653706490993,0.439466536045,4.94002270699
50,158.947,-24.4563121796,37.8371109788,114.39121891,-0.653706490993,0.444959878922,4.99887657166
51,158.945,-24.4563121796,37.8371109935,114.391218906,-0.653706490993,0.450453191996,5.12518787384
52,158.943,-24.4563121796,37.8371109897,114.391218887,-0.653706490993,0.450453191996,5.1984899044
53,158.95,-24.4563121796,37.8371109877,114.391218884,-0.653706490993,0.444959878922,5.33628082275
54,158.949,-24.4563121796,37.8371109802,114.391218875,-0.653706490993,0.444959878922,5.39884877205
55,158.948,-24.4563121796,37.8371109753,114.391218935,-0.653706490993,0.450453191996,5.53325986862
56,158.947,-24.4563121796,37.8371109565,114.391218882,-0.653706490993,0.450453191996,5.59910392761
57,158.943,-24.4563121796,37.8371109888,114.391218911,-0.653706490993,0.450453191996,5.7402908802
58,158.946,-24.4563121796,37.8371109813,114.391218881,-0.653706490993,0.444959878922,5.79835438728
59,158.945,-24.4563121796,37.8371109833,114.391218893,-0.653706490993,0.444959878922,5.93485689163
60,158.943,-24.4563121796,37.8371109875,114.391218896,-0.653706490993,0.444959878922,5.99921178818
61,158.951,-24.4563121796,37.8371109875,114.391218913,-0.653706490993,0.444959878922,6.13215923309
62,158.948,-24.4563121796,37.837111005,114.391218889,-0.65919983387,0.444959878922,6.1987695694
63,158.952,-24.4563121796,37.8371109807,114.391218904,-0.65919983387,0.444959878922,6.33316612244
64,158.95,-24.4563121796,37.8371110005,114.391218907,-0.653706490993,0.450453191996,6.39993929863
65,158.949,-24.4563121796,37.8371109977,114.391218893,-0.653706490993,0.444959878922,6.52254915237
66,158.952,-24.4563121796,37.8371109865,114.391218895,-0.653706490993,0.444959878922,6.60068964958
67,158.952,-24.4563121796,37.837110985,114.391218897,-0.653706490993,0.450453191996,6.7247531414
68,158.951,-24.4563121796,37.8371110088,114.391218935,-0.648213148117,0.450453191996,6.79989624023
69,158.95,-24.4563121796,37.8371110492,114.391218902,-0.642719805241,0.450453191996,6.93501496315
70,158.949,-24.4618053436,37.837111121,114.391218963,-0.642719805241,0.444959878922,6.99910211563
71,158.945,-24.4618053436,37.83711115,114.391218985,-0.642719805241,0.450453191996,7.13422775269
72,158.947,-24.4618053436,37.8371112647,114.391219034,-0.631733119488,0.450453191996,7.19867563248
73,158.945,-24.4618053436,37.8371114212,114.391219148,-0.615253150463,0.466933190823,7.33455610275
74,158.945,-24.4672985077,37.8371115733,114.391219194,-0.615253150463,0.466933190823,7.39978432655
75,158.943,-24.4672985077,37.8371117085,114.391219313,-0.637226462364,0.461439877748,7.53262042999
76,158.94,-24.4727935791,37.8371118978,114.391219423,-0.626239836216,0.477919846773,7.59982800484
77,158.947,-24.4727935791,37.8371120893,114.391219509,-0.615253150463,0.477919846773,7.73556828499
78,158.944,-24.4727935791,37.8371122908,114.391219612,-0.626239836216,0.48341318965,7.80006051064
79,158.94,-24.4782867432,37.837112531,114.391219748,-0.615253150463,0.48341318965,7.94214701653
80,158.943,-24.4782867432,37.8371127513,114.391219902,-0.60426646471,0.48341318965,8.00054478645
81,158.938,-24.4727935791,37.8371129963,114.391220036,-0.609759807587,0.4943998456,8.13295650482
82,158.939,-24.4672985077,37.8371132958,114.391220189,-0.598773181438,0.499893188477,8.19804620743
83,158.937,-24.4782867432,37.8371135433,114.391220314,-0.593279838562,0.4943998456,8.33506202698
84,158.94,-24.4727935791,37.8371138505,114.391220533,-0.609759807587,0.48341318965,8.3997964859
85,158.941,-24.4672985077,37.8371141603,114.391220701,-0.615253150463,0.48341318965,8.5219707489
86,158.941,-24.4727935791,37.8371145028,114.391220892,-0.593279838562,0.488906532526,8.59880805016
87,158.936,-24.4782867432,37.8371148543,114.39122106,-0.593279838562,0.466933190823,8.72434568405
88,158.933,-24.4672985077,37.8371152727,114.391221279,-0.615253150463,0.450453191996,8.79825186729
89,158.932,-24.4563121796,37.8371156563,114.391221477,-0.615253150463,0.422986537218,8.93997836113
90,158.938,-24.4618053436,37.8371160763,114.391221683,-0.60426646471,0.411999881268,9.00216245651
91,158.926,-24.4618053436,37.8371165838,114.391221943,-0.615253150463,0.395519882441,9.13217067719
92,158.93,-24.4508190155,37.8371169953,114.391222158,-0.642719805241,0.373546570539,9.19944167137
93,158.93,-24.4508190155,37.8371174447,114.391222391,-0.670186460018,0.357066571712,9.33129191399
94,158.925,-24.4563121796,37.8371179125,114.391222682,-0.664693117142,0.329599916935,9.39942717552
95,158.926,-24.4343395233,37.8371183808,114.391222936,-0.65919983387,0.329599916935,9.52449369431
96,158.927,-24.4178600311,37.8371189013,114.391223188,-0.675679802895,0.313119918108,9.59996676445
97,158.929,-24.4288463593,37.8371193652,114.391223501,-0.697653114796,0.313119918108,9.73434925079
98,158.925,-24.4453258514,37.8371199447,114.391223811,-0.708639800549,0.313119918108,9.79999947548
99,158.925,-24.4398326874,37.8371204792,114.391224104,-0.725119769573,0.263679921627,9.93629932404
100,158.925,-24.4343395233,37.8371211022,114.391224438,-0.741599798203,0.252693265676,9.99957585335
101,158.924,-24.4233531952,37.8371216997,114.391224783,-0.725119769573,0.241706594825,10.1343107224
102,158.916,-24.4288463593,37.8371223098,114.391225134,-0.719626426697,0.225226595998,10.2001502514
103,158.915,-24.4343395233,37.8371229795,114.391225427,-0.736106455326,0.203253269196,10.33522439
104,158.918,-24.4398326874,37.8371236197,114.391225837,-0.736106455326,0.192266613245,10.4022166729
105,158.911,-24.4178600311,37.8371242863,114.391226189,-0.719626426697,0.18677328527,10.5307810307
106,158.912,-24.3958854675,37.8371249777,114.391226604,-0.714133143425,0.148319959641,10.5993514061
107,158.914,-24.4123668671,37.8371257127,114.391226922,-0.736106455326,0.142826631665,10.7312726974
108,158.911,-24.4288463593,37.8371264197,114.391227347,-0.725119769573,0.104373306036,10.8000285625
109,158.904,-24.4178600311,37.8371272067,114.391227755,-0.708639800549,0.120853297412,10.9351649284
110,158.903,-24.3958854675,37.837127986,114.391228185,-0.697653114796,0.0988799706101,10.9996783733
111,158.903,-24.4013786316,37.8371287507,114.391228603,-0.681173145771,0.115359969437,11.1246187687
112,158.895,-24.4123668671,37.8371295423,114.391229027,-0.681173145771,0.109866634011,11.1976485252
113,158.886,-24.4013786316,37.8371303022,114.39122952,-0.670186460018,0.115359969437,11.3308551311
114,158.894,-24.3794059753,37.8371310923,114.39122994,-0.631733119488,0.153813287616,11.3981778622
115,158.893,-24.3794059753,37.837131945,114.391230454,-0.62074649334,0.18677328527,11.5241539478
116,158.889,-24.3958854675,37.8371327825,114.391230976,-0.637226462364,0.225226595998,11.5999648571
117,158.876,-24.3739128113,37.8371336573,114.391231413,-0.642719805241,0.274666577578,11.7213125229
118,158.877,-24.3629264832,37.8371344848,114.391231937,-0.615253150463,0.34607988596,11.7990274429
119,158.884,-24.351940155,37.8371353705,114.39123243,-0.631733119488,0.406506538391,11.9358830452
120,158.881,-24.351940155,37.8371362425,114.391232934,-0.648213148117,0.48341318965,11.9993255138
121,158.867,-24.3684196472,37.8371371715,114.391233467,-0.642719805241,0.560319840908,12.1347455978
122,158.87,-24.3684196472,37.8371380985,114.391234006,-0.626239836216,0.587786495686,12.2014622688
123,158.867,-24.3684196472,37.8371390635,114.391234545,-0.60426646471,0.609759807587,12.3384184837
124,158.873,-24.3848991394,37.8371400208,114.391235007,-0.576799809933,0.582293152809,12.4012446404
125,158.855,-24.3903923035,37.8371410415,114.391235581,-0.554826498032,0.560319840908,12.5362701416
126,158.859,-24.3848991394,37.8371420585,114.391236093,-0.538346529007,0.510879874229,12.5978972912
127,158.853,-24.3794059753,37.8371430913,114.391236681,-0.516373157501,0.488906532526,12.7224581242
128,158.854,-24.3848991394,37.8371441613,114.391237227,-0.472426533699,0.450453191996,12.7979197502
129,158.846,-24.406873703,37.8371452627,114.391237782,-0.450453191996,0.417493224144,12.9353504181
130,158.846,-24.4178600311,37.8371464058,114.391238432,-0.395519882441,0.368053227663,12.9999842644
131,158.844,-24.4233531952,37.8371476222,114.391238998,-0.313119918108,0.351573228836,13.1308202744
132,158.842,-24.4123668671,37.8371489605,114.391239744,-0.28565326333,0.258186578751,13.1984283924
133,158.835,-24.406873703,37.8371502982,114.39124054,-0.335093230009,0.241706594825,13.3341217041
134,158.837,-24.3958854675,37.8371516537,114.391241282,-0.335093230009,0.274666577578,13.3990547657
135,158.819,-24.3903923035,37.837153048,114.391242078,-0.302133232355,0.274666577578,13.531144619
136,158.822,-24.3848991394,37.8371544708,114.391242891,-0.307626575232,0.280159920454,13.5983476639
137,158.828,-24.3574333191,37.8371559283,114.391243709,-0.34607988596,0.318613231182,13.7236042023
138,158.827,-24.3244724274,37.8371573903,114.391244607,-0.313119918108,0.401013225317,13.7984242439
139,158.817,-24.3244724274,37.837158926,114.391245469,-0.280159920454,0.532853186131,13.9409482479
140,158.809,-24.3189792633,37.8371604835,114.391246396,-0.258186578751,0.653706490993,13.9983611107
141,158.804,-24.291513443,37.8371621395,114.391247277,-0.23621326685,0.736106455326,14.1339836121
142,158.807,-24.2640457153,37.837163832,114.391248166,-0.214239940047,0.741599798203,14.2001137733
143,158.798,-24.2530593872,37.8371655283,114.391249146,-0.230719938874,0.736106455326,14.3362028599
144,158.794,-24.2420730591,37.8371672783,114.391250085,-0.2471999228,0.725119769573,14.3983874321
145,158.79,-24.236579895,37.8371690393,114.391251092,-0.274666577578,0.736106455326,14.5295968056
146,158.8,-24.2475662231,37.8371708632,114.391252086,-0.324106574059,0.76906645298,14.6000080109
147,158.78,-24.3134860992,37.8371726545,114.391253087,-0.335093230009,0.752586424351,14.7293787003
